population,metric,route_count,mean,p50,p90,p99,max
all_recovered_waves,stop_count,124998,11.871101937631002,7.0,31.0,49.0,100.0
all_recovered_waves,work_span_minutes,124998,180.11214579433272,117.0,518.0,701.0,917.0
all_recovered_waves,straight_line_distance_km,124998,4.882434865410302,2.4279822195792327,12.147291017072352,38.83759853487503,138.6516714847283
all_recovered_waves,max_adjacent_distance_km,96315,1.634939378075746,1.0276249483745985,3.728772079162827,9.016210995096682,9.99966125840956
all_recovered_waves,max_service_radius_km,124723,1.044191559289575,0.5583586436035542,2.6689875825164613,7.24606250518789,30.28894182533339
all_recovered_waves,start_leg_km,124723,2.4220497082613996,1.63343506736586,4.4878969423483515,16.89459461148475,190.5156504552577
all_recovered_waves,return_to_start_proxy_km,124723,2.5786254672151845,1.7240264832979144,5.07000138486931,16.893993951261415,190.5156504552577
all_recovered_waves,closed_proxy_distance_km,124723,9.8938752533015,6.925311685727045,19.98037258386163,57.98575707591214,381.0313009105154
eligible_at_least_10_stops,stop_count,54945,22.933770133770135,20.0,40.0,54.0,100.0
eligible_at_least_10_stops,work_span_minutes,54945,344.3380289380289,296.0,610.0,736.0,917.0
eligible_at_least_10_stops,straight_line_distance_km,54945,9.216172649443292,6.411699406888272,18.084796605652187,54.16429685764401,138.6516714847283
eligible_at_least_10_stops,max_adjacent_distance_km,54945,1.847140115534136,1.2421886408673342,3.9737148415111285,9.017099789588604,9.99966125840956
eligible_at_least_10_stops,max_service_radius_km,54945,1.6415362190905514,1.054780327655859,3.6093847273207493,8.357553581546544,30.28894182533339
eligible_at_least_10_stops,start_leg_km,54945,1.8284577314564363,1.554455060123829,3.298245690417924,7.068640453546057,32.18704192314261
eligible_at_least_10_stops,return_to_start_proxy_km,54945,2.1094137815868805,1.6924629795959716,4.133023094935343,9.134911729304733,42.03272382552763
eligible_at_least_10_stops,closed_proxy_distance_km,54945,13.15404416248661,9.957715450113811,24.129751299776288,61.77094246600036,148.8842365468473
