instance_id,coordinate_mode,points,median_nearest_road_m,p90_nearest_road_m,max_nearest_road_m,median_node_connector_m,p90_node_connector_m,within_50m_share,within_100m_share,graph_nodes,graph_edges
n100_representative,raw,101,52.424105632515705,71.4171944792122,194.33536138298524,70.02870003813416,145.42296730573725,0.44554455445544555,0.9504950495049505,545,1354
n100_representative,gcj02_to_wgs84,101,15.674294925064595,31.67221866393127,75.41059929261424,42.16385947790219,61.23339212004936,0.9702970297029703,1.0,545,1354
n20_distance_stress,raw,21,81.53274252775051,298.9585999459377,397.5055667649477,216.147332855939,408.71667085092616,0.3333333333333333,0.5714285714285714,1990,4772
n20_distance_stress,gcj02_to_wgs84,21,26.729142830050094,74.63212608935797,206.69572653790897,91.63636057299189,212.78560878437779,0.7619047619047619,0.9047619047619048,1990,4772
n20_payload_stress,raw,21,56.32452224510778,148.0365675535744,283.83342499074,135.03091862732697,209.80676230192557,0.47619047619047616,0.7619047619047619,465,1166
n20_payload_stress,gcj02_to_wgs84,21,45.293651305923426,149.76174762241575,176.73403751675866,137.22498950436412,317.4287986496632,0.5238095238095238,0.7142857142857143,465,1166
n20_representative,raw,21,34.59686322938558,70.54057466824192,94.21066957619828,88.62243539899252,137.20962091457764,0.6666666666666666,1.0,668,1595
n20_representative,gcj02_to_wgs84,21,37.77497005113395,58.646684973704204,61.322256959672885,70.86982806442506,111.61209875788823,0.8095238095238095,1.0,668,1595
n30_distance_stress,raw,31,30.276236990277262,108.58755457496238,170.82593471070106,108.7992613500471,213.403081673178,0.6451612903225806,0.8064516129032258,2188,5317
n30_distance_stress,gcj02_to_wgs84,31,47.58362897037443,147.75381085728966,172.94659063167256,143.75258911449288,335.82406747790066,0.5161290322580645,0.7741935483870968,2188,5317
n30_payload_stress,raw,31,40.13156994358586,116.2414074324286,177.53709459197214,143.0952501033044,302.26968625929123,0.5483870967741935,0.7419354838709677,378,905
n30_payload_stress,gcj02_to_wgs84,31,58.74575449912947,173.06344132857495,195.4956971033654,194.86596981126027,312.83943916261484,0.41935483870967744,0.7419354838709677,378,905
n30_representative,raw,31,56.6612241844071,102.40119237835623,169.69104565367834,105.11773830149652,208.89822693540953,0.45161290322580644,0.8709677419354839,625,1404
n30_representative,gcj02_to_wgs84,31,71.98297278723176,143.63528014206665,242.36119567487796,154.3836774922361,233.6433824251926,0.2903225806451613,0.6129032258064516,625,1404
n50_distance_stress,raw,51,40.20744128501082,167.2328976634184,226.14323792285435,68.92177604982649,198.34474164769816,0.7058823529411765,0.8431372549019608,2534,6150
n50_distance_stress,gcj02_to_wgs84,51,57.904985200482336,115.52534464028888,208.2630034440499,113.10424357910354,190.50049659719795,0.37254901960784315,0.803921568627451,2534,6150
n50_payload_stress,raw,51,38.87623339444191,90.03102914789505,213.46523064379215,109.10810058085707,248.166725821291,0.6078431372549019,0.9411764705882353,1208,3017
n50_payload_stress,gcj02_to_wgs84,51,25.923129933958204,72.47774322163568,87.10609596427699,43.020335504075916,118.07605102413862,0.7254901960784313,1.0,1208,3017
n50_representative,raw,51,34.33703029073694,89.69999582616347,136.14572621376865,72.04196997440752,148.91191421937864,0.7058823529411765,0.9607843137254902,955,2169
n50_representative,gcj02_to_wgs84,51,35.62390858088821,72.13994882958568,91.72174848995681,69.58555037212784,102.28901757110174,0.7647058823529411,1.0,955,2169
