instance_id,task_count,basic_vrp_vehicle_count,type_compatible_vehicle_count,vehicles_added_by_type_compatibility,selected_task_links,internal_deadhead_distance_km,task_service_rate,duplicate_task_assignments,route_type_violations,time_overlap_violations,deadhead_endpoint_violations,missing_selected_link_paths,solver_success,optimality_gap
instance_00095,144,112,120,8,24,744.59,1.0,0,0,0,0,0,True,0.0
instance_00096,112,83,91,8,21,1404.41,1.0,0,0,0,0,0,True,0.0
instance_00097,112,78,87,9,25,1143.8100000000002,1.0,0,0,0,0,0,True,0.0
instance_00098,104,75,83,8,21,1163.43,1.0,0,0,0,0,0,True,0.0
instance_00099,95,68,77,9,18,660.8000000000001,1.0,0,0,0,0,0,True,0.0
instance_00100,93,71,74,3,19,1259.23,1.0,0,0,0,0,0,True,0.0
instance_00102,39,20,24,4,15,815.1,1.0,0,0,0,0,0,True,0.0
instance_00103,33,22,26,4,7,451.08,1.0,0,0,0,0,0,True,0.0
instance_00104,33,18,21,3,12,640.96,1.0,0,0,0,0,0,True,0.0
instance_00105,29,17,19,2,10,374.82,1.0,0,0,0,0,0,True,0.0
instance_00106,18,11,13,2,5,94.3,1.0,0,0,0,0,0,True,0.0
instance_00107,21,12,14,2,7,46.620000000000005,1.0,0,0,0,0,0,True,0.0
instance_00108,22,14,16,2,6,84.88,1.0,0,0,0,0,0,True,0.0
instance_00109,18,15,15,0,3,24.52,1.0,0,0,0,0,0,True,0.0
instance_00110,22,15,17,2,5,27.57,1.0,0,0,0,0,0,True,0.0
instance_00111,15,11,11,0,4,133.79000000000002,1.0,0,0,0,0,0,True,0.0
instance_00112,31,19,23,4,8,345.06,1.0,0,0,0,0,0,True,0.0
instance_00113,23,14,18,4,5,293.96999999999997,1.0,0,0,0,0,0,True,0.0
instance_00114,17,10,12,2,5,17.04,1.0,0,0,0,0,0,True,0.0
instance_00115,22,13,15,2,7,81.42999999999999,1.0,0,0,0,0,0,True,0.0
instance_00116,23,19,21,2,2,19.05,1.0,0,0,0,0,0,True,0.0
instance_00118,26,15,20,5,6,8.52,1.0,0,0,0,0,0,True,0.0
instance_00119,20,13,15,2,5,0.0,1.0,0,0,0,0,0,True,0.0
instance_00120,16,9,11,2,5,160.74,1.0,0,0,0,0,0,True,0.0
instance_00121,32,15,16,1,16,1237.1999999999998,1.0,0,0,0,0,0,True,0.0
instance_00122,34,24,26,2,8,295.79,1.0,0,0,0,0,0,True,0.0
