instance_id,task_count,p50_time_dependent_vehicle_count,p90_robust_vehicle_count,vehicles_added_by_p90_robustness,selected_task_links,internal_deadhead_distance_km,task_service_rate,duplicate_task_assignments,route_type_violations,time_overlap_violations,deadhead_endpoint_violations,missing_selected_link_paths,solver_success,optimality_gap
instance_00095,144,120,120,0,24,792.13,1.0,0,0,0,0,0,True,0.0
instance_00096,112,92,92,0,20,1334.54,1.0,0,0,0,0,0,True,0.0
instance_00097,112,88,89,1,23,908.14,1.0,0,0,0,0,0,True,0.0
instance_00098,104,84,85,1,19,1020.3100000000001,1.0,0,0,0,0,0,True,0.0
instance_00099,95,79,79,0,16,436.70000000000005,1.0,0,0,0,0,0,True,0.0
instance_00100,93,74,76,2,17,953.8,1.0,0,0,0,0,0,True,0.0
instance_00102,39,24,25,1,14,737.93,1.0,0,0,0,0,0,True,0.0
instance_00103,33,26,27,1,6,287.96,1.0,0,0,0,0,0,True,0.0
instance_00104,33,22,22,0,11,507.95,1.0,0,0,0,0,0,True,0.0
instance_00105,29,19,19,0,10,374.82,1.0,0,0,0,0,0,True,0.0
instance_00106,18,13,13,0,5,94.3,1.0,0,0,0,0,0,True,0.0
instance_00107,21,14,14,0,7,46.620000000000005,1.0,0,0,0,0,0,True,0.0
instance_00108,22,17,17,0,5,8.52,1.0,0,0,0,0,0,True,0.0
instance_00109,18,15,15,0,3,24.52,1.0,0,0,0,0,0,True,0.0
instance_00110,22,17,17,0,5,27.57,1.0,0,0,0,0,0,True,0.0
instance_00111,15,11,11,0,4,133.79000000000002,1.0,0,0,0,0,0,True,0.0
instance_00112,31,23,23,0,8,405.52000000000004,1.0,0,0,0,0,0,True,0.0
instance_00113,23,18,19,1,4,27.57,1.0,0,0,0,0,0,True,0.0
instance_00114,17,12,12,0,5,17.04,1.0,0,0,0,0,0,True,0.0
instance_00115,22,15,15,0,7,81.42999999999999,1.0,0,0,0,0,0,True,0.0
instance_00116,23,21,22,1,1,0.0,1.0,0,0,0,0,0,True,0.0
instance_00118,26,20,20,0,6,8.52,1.0,0,0,0,0,0,True,0.0
instance_00119,20,15,15,0,5,0.0,1.0,0,0,0,0,0,True,0.0
instance_00120,16,12,13,1,3,16.0,1.0,0,0,0,0,0,True,0.0
instance_00121,32,17,18,1,14,375.19000000000005,1.0,0,0,0,0,0,True,0.0
instance_00122,34,28,29,1,5,94.1,1.0,0,0,0,0,0,True,0.0
