lane_id,origin_site_id,destination_site_id,active_days,total_observed_trips,total_orders,total_weight_kg,total_volume_m3,distance_km_p50,duration_hours_p50,duration_hours_p90,daily_weight_p50_kg,daily_weight_p90_kg,daily_volume_p50_m3,daily_volume_p90_m3,destination_city_count_p50
site_1143__site_1169,site_1143,site_1169,4,4,4,5.0,0.029606,25.94,0.7825,0.7825,1.0,1.7000000000000002,0.005187000000000001,0.012447000000000001,1.0
site_1143__site_1161,site_1143,site_1161,4,4,4,4.87,0.025112,7.9,0.5781944444444445,0.5781944444444445,1.0,1.6090000000000002,0.004875,0.009400500000000001,1.0
site_0329__site_0316,site_0329,site_0316,4,4,4,5.56,0.038464000000000005,53.77,1.302361111111111,1.302361111111111,1.1,2.012,0.0072759999999999995,0.017082000000000003,1.0
site_2158__site_2116,site_2158,site_2116,4,4,4,10.5,0.127087,87.0,1.1856944444444444,1.1856944444444444,1.1,5.960000000000001,0.007478500000000001,0.07895610000000002,1.0
site_2158__site_2117,site_2158,site_2117,2,2,4,6.8,0.047464,94.0,1.5348611111111112,1.5348611111111112,3.4,4.52,0.023732,0.0362824,1.0
site_2158__site_2123,site_2158,site_2123,3,3,4,8.1,0.065359,64.0,1.3527777777777779,1.3527777777777779,3.23,3.742,0.022425,0.0356146,1.0
site_2158__site_2124,site_2158,site_2124,3,4,4,3.83,0.022369,60.8,1.4680555555555554,1.4680555555555554,1.0,1.8,0.008044,0.0091688,1.0
site_1202__site_1209,site_1202,site_1209,4,4,4,3.3,0.02293377,50.84,1.0816666666666666,1.0816666666666666,0.94,1.0,0.004875,0.007875739,1.0
site_0191__site_0044,site_0191,site_0044,3,3,4,11.549,0.21965233,39.78,0.8891666666666667,0.8891666666666667,1.979,7.7398,0.10487599,0.10957866999999999,1.0
site_1259__site_1266,site_1259,site_1266,4,4,4,4.0,0.017878,64.0,1.2354166666666666,1.2354166666666666,1.0,1.0,0.004198,0.0051342,1.0
site_1654__site_1115,site_1654,site_1115,2,3,4,7.15,0.0838298,329.3475,5.188750000000001,5.219638888888889,3.575,5.587,0.0419149,0.068230692,1.0
site_0191__site_0128,site_0191,site_0128,3,3,4,3.58,0.026164120000000003,22.07,1.1455555555555557,1.1455555555555557,1.1099999999999999,1.398,0.008044,0.012204896000000002,1.0
site_2158__site_2140,site_2158,site_2140,4,4,4,6.36,0.050506999999999996,99.0,1.7102777777777778,1.7102777777777778,1.6,2.112,0.0142425,0.017865,1.0
site_1350__site_1356,site_1350,site_1356,4,4,4,4.29,0.034764,29.0,0.7279166666666667,0.7279166666666667,1.1,1.2,0.009477,0.010935,1.0
site_1533__site_1525,site_1533,site_1525,3,3,4,4.5,0.028961,34.44,1.1575,1.1575,1.2,2.08,0.01134,0.0128656,1.0
site_0329__site_0313,site_0329,site_0313,4,4,4,5.7,0.03852,24.45,1.167361111111111,1.167361111111111,1.1,2.1100000000000003,0.007905,0.015765,1.0
