lane_id,departure_site_id,arrival_site_id,physical_legs,vehicle_distance_km,emissions_kgco2_min,emissions_kgco2_max,waybills
lane_02912,site_2316,site_1036,3,328.9,254.05620154688097,254.05620154688097,3
lane_01853,site_1530,site_1931,4,328.64,253.8553666049467,253.8553666049467,4
lane_02934,site_2316,site_2320,6,369.6,228.3490027401557,252.94635072143356,6
lane_02723,site_2192,site_1258,1,327.0,252.58856158659194,252.58856158659194,1
lane_00595,site_0611,site_0691,27,496.79999999999995,153.31148459827196,252.4994917175807,30
lane_00137,site_0191,site_0113,5,496.55,153.23433509917865,252.37242876885009,6
lane_00999,site_0935,site_0488,1,326.0,251.81611950222927,251.81611950222927,1
lane_02966,site_2325,site_2332,2,321.26,248.15474402235023,248.15474402235023,2
lane_00871,site_0828,site_0841,6,320.21999999999997,247.35140425461304,247.35140425461304,6
lane_00061,site_0164,site_0105,16,484.16,149.41080592411305,246.0751890297583,23
lane_02066,site_1725,site_1989,3,359.43,222.06569820047122,245.98621980466683,5
lane_02139,site_1762,site_0172,10,481.9,148.7133744523093,244.926539973233,13
lane_02005,site_1637,site_1626,39,312.0,244.46408116181328,244.46408116181328,43
lane_02983,site_2355,site_1162,2,277.08,244.00615132678394,244.00615132678394,2
lane_02493,site_2071,site_1124,1,479.24,147.89250378195624,243.57459019873872,1
lane_02309,site_1855,site_1829,9,313.11,241.8593410347945,241.8593410347945,11
lane_02570,site_2119,site_2064,1,312.16,241.12552105465,241.12552105465,1
lane_01399,site_1248,site_0611,3,311.0,240.22948823678928,240.22948823678928,3
lane_02142,site_1762,site_0182,9,471.74,145.57801880915622,239.7627017368187,9
lane_02130,site_1762,site_0150,10,469.20000000000005,144.794179898368,238.47174217771516,13
lane_02916,site_2316,site_1148,5,356.8,209.40750746276177,237.90209759172262,5
lane_02877,site_2316,site_0730,11,466.84000000000003,144.06588862692692,237.27226794169766,14
lane_02769,site_2207,site_2416,1,305.26,235.79567067254757,235.79567067254757,1
lane_00805,site_0782,site_0791,4,332.6,218.34560134270984,234.94681469208692,5
lane_00698,site_0665,site_1998,1,303.23,234.22761324129138,234.22761324129138,1
lane_00868,site_0828,site_0838,3,339.15,209.5361587644042,232.10702069040633,3
lane_00157,site_0191,site_0192,16,456.48,140.86881338449916,232.00677934629886,20
lane_02825,site_2279,site_0002,1,300.29,231.95663351326513,231.95663351326513,1
lane_02614,site_2128,site_1168,6,456.0,140.72068634623997,231.76281848473596,6
lane_00128,site_0191,site_0067,17,455.77,140.6497088070741,231.64592057190376,21
lane_00151,site_0191,site_0160,18,455.40000000000003,140.53552754841598,231.45786740778235,27
lane_02323,site_1855,site_1876,11,446.49,137.78591940072957,226.92934391502138,15
lane_02079,site_1762,site_0021,9,444.06000000000006,137.0360262695424,225.69429205335933,12
lane_02387,site_1907,site_0385,1,291.66,225.29045832521533,225.29045832521533,1
lane_00592,site_0611,site_0650,6,291.24,224.96603264978296,224.96603264978296,11
lane_00384,site_0385,site_2290,6,289.5,223.62198342299195,223.62198342299195,6
lane_00788,site_0773,site_1398,2,269.33,222.61099008775494,222.61099008775494,2
lane_00553,site_0534,site_0686,18,288.0,222.46332029644793,222.46332029644793,21
lane_01231,site_1130,site_0405,2,287.82,222.32428072126265,222.32428072126265,2
lane_00169,site_0191,site_0224,15,433.69,133.83586504715092,220.42372094001124,18
lane_01337,site_1199,site_1903,2,284.3,219.60528458430608,219.60528458430608,2
lane_01442,site_1293,site_0373,1,284.12,219.4662450091208,219.4662450091208,1
lane_02557,site_2119,site_0385,1,283.32,218.84829134163067,218.84829134163067,1
lane_00368,site_0385,site_1670,3,282.78000000000003,218.43117261607486,218.43117261607486,4
lane_02098,site_1762,site_0078,9,304.65000000000003,203.9222362442085,217.43879840599837,11
lane_01902,site_1573,site_2046,5,425.75,131.38559695594665,216.38820168832527,5
lane_01447,site_1293,site_1720,3,279.0,215.51134153718397,215.51134153718397,3
lane_01311,site_1187,site_1901,3,278.28000000000003,214.95518323644282,214.95518323644282,3
lane_00882,site_0857,site_0496,2,277.08,214.02825273520762,214.02825273520762,2
lane_00793,site_0782,site_0164,2,276.1,213.27125949253224,213.27125949253224,2
lane_03059,site_2418,site_2413,1,276.0,213.19401528409594,213.19401528409594,1
lane_02082,site_1762,site_0035,8,417.6,128.870523285504,212.2459495597056,8
lane_02562,site_2119,site_1133,2,274.18,211.7881706905559,211.7881706905559,2
lane_02876,site_2316,site_0729,10,415.79999999999995,128.31504689203197,211.33109632884475,10
lane_00147,site_0191,site_0136,16,415.36,128.1792637736277,211.1074655390788,21
lane_02105,site_1762,site_0087,10,413.29999999999995,127.54355190109864,210.06046684153813,10
lane_01497,site_1300,site_1855,3,271.92,210.0424515798963,210.0424515798963,3
lane_02159,site_1762,site_0247,10,413.16999999999996,127.5034341615701,209.99439410819815,10
lane_00222,site_0246,site_2128,8,271.52,209.73347474615122,209.73347474615122,12
lane_02671,site_2128,site_2121,9,405.0,124.98218853119998,205.84197694367998,10
lane_00729,site_0686,site_0665,5,265.0,204.6971523561066,204.6971523561066,18
lane_00525,site_0534,site_0611,8,264.0,203.92471027174395,203.92471027174395,8
lane_00116,site_0191,site_0020,15,401.13,123.78791428523517,203.87504249732925,18
lane_00778,site_0768,site_1587,1,230.0,202.54588857066662,202.54588857066662,1
lane_00982,site_0925,site_0423,5,262.04999999999995,202.41844820723674,202.41844820723674,5
lane_00055,site_0164,site_0064,17,397.29,122.60289797916157,201.9233556048262,23
