instance_id,task_count,independent_vehicle_count,vrp_vehicle_count,vehicle_reduction,vehicle_reduction_rate,loaded_distance_km,vrp_internal_deadhead_distance_km,vrp_total_observed_scope_distance_km,average_tasks_per_vrp_vehicle,task_service_rate,time_overlap_violations,duplicate_task_assignments,missing_task_assignments,missing_selected_link_paths
instance_00018,51,51,43,8,0.1568627450980392,11933.79,38.1,11971.890000000001,1.186046511627907,1.0,0,0,0,0
instance_00020,41,41,36,5,0.12195121951219512,8892.35,27.57,8919.92,1.1388888888888888,1.0,0,0,0,0
instance_00026,15,15,11,4,0.26666666666666666,1983.51,19.05,2002.56,1.3636363636363635,1.0,0,0,0,0
instance_00055,40,40,34,6,0.15,6322.820000000001,55.84,6378.660000000001,1.1764705882352942,1.0,0,0,0,0
instance_00057,50,50,40,10,0.2,9471.37,19.05,9490.42,1.25,1.0,0,0,0,0
instance_00059,44,44,38,6,0.13636363636363635,9123.23,85.42,9208.65,1.1578947368421053,1.0,0,0,0,0
instance_00061,37,37,25,12,0.32432432432432434,6122.129999999999,102.46,6224.589999999999,1.48,1.0,0,0,0,0
instance_00063,59,59,48,11,0.1864406779661017,8150.019999999999,102.62,8252.64,1.2291666666666667,1.0,0,0,0,0
instance_00065,49,49,36,13,0.2653061224489796,6605.429999999999,121.50999999999999,6726.94,1.3611111111111112,1.0,0,0,0,0
instance_00067,53,53,40,13,0.24528301886792453,9509.48,191.1,9700.58,1.325,1.0,0,0,0,0
instance_00069,52,52,37,15,0.28846153846153844,10252.09,259.75,10511.84,1.4054054054054055,1.0,0,0,0,0
instance_00071,65,65,50,15,0.23076923076923078,13051.810000000001,93.24,13145.050000000001,1.3,1.0,0,0,0,0
instance_00073,56,56,41,15,0.26785714285714285,10507.059999999998,159.61,10666.669999999998,1.3658536585365855,1.0,0,0,0,0
instance_00074,15,15,9,6,0.4,1051.8,132.4,1184.2,1.6666666666666667,1.0,0,0,0,0
instance_00075,33,33,25,8,0.24242424242424243,7470.6500000000015,116.13999999999999,7586.790000000002,1.32,1.0,0,0,0,0
instance_00077,53,53,41,12,0.22641509433962265,10171.700000000003,130.03,10301.730000000003,1.2926829268292683,1.0,0,0,0,0
instance_00079,65,65,41,24,0.36923076923076925,10113.080000000002,198.85,10311.930000000002,1.5853658536585367,1.0,0,0,0,0
instance_00081,62,62,40,22,0.3548387096774194,10644.360000000002,752.49,11396.850000000002,1.55,1.0,0,0,0,0
instance_00083,47,47,34,13,0.2765957446808511,7979.3499999999985,124.65999999999998,8104.009999999998,1.3823529411764706,1.0,0,0,0,0
instance_00085,49,49,36,13,0.2653061224489796,8820.44,171.56000000000003,8992.0,1.3611111111111112,1.0,0,0,0,0
instance_00087,47,47,34,13,0.2765957446808511,8891.730000000003,197.61,9089.340000000004,1.3823529411764706,1.0,0,0,0,0
instance_00089,34,34,25,9,0.2647058823529412,7398.2,67.50999999999999,7465.71,1.36,1.0,0,0,0,0
instance_00091,50,50,36,14,0.28,10472.19,105.60999999999999,10577.800000000001,1.3888888888888888,1.0,0,0,0,0
instance_00093,52,52,37,15,0.28846153846153844,10551.500000000002,65.67,10617.170000000002,1.4054054054054055,1.0,0,0,0,0
instance_00095,54,54,39,15,0.2777777777777778,9276.09,128.02,9404.11,1.3846153846153846,1.0,0,0,0,0
instance_00097,43,43,32,11,0.2558139534883721,8725.62,201.56,8927.18,1.34375,1.0,0,0,0,0
instance_00099,43,43,36,7,0.16279069767441862,10592.420000000002,19.05,10611.470000000001,1.1944444444444444,1.0,0,0,0,0
instance_00101,59,59,45,14,0.23728813559322035,11025.1,210.15,11235.25,1.3111111111111111,1.0,0,0,0,0
instance_00103,40,40,30,10,0.25,10831.22,46.61999999999999,10877.84,1.3333333333333333,1.0,0,0,0,0
instance_00112,12,12,7,5,0.4166666666666667,2178.11,0.0,2178.11,1.7142857142857142,1.0,0,0,0,0
instance_00152,41,41,33,8,0.1951219512195122,7925.58,169.14999999999998,8094.73,1.2424242424242424,1.0,0,0,0,0
instance_00154,38,38,28,10,0.2631578947368421,7482.469999999998,92.08999999999999,7574.559999999999,1.3571428571428572,1.0,0,0,0,0
instance_00156,44,44,33,11,0.25,8140.36,335.7,8476.06,1.3333333333333333,1.0,0,0,0,0
instance_00158,35,35,25,10,0.2857142857142857,4509.039999999999,480.14,4989.179999999999,1.4,1.0,0,0,0,0
instance_00160,40,40,30,10,0.25,5898.389999999999,162.49,6060.879999999999,1.3333333333333333,1.0,0,0,0,0
instance_00162,44,44,35,9,0.20454545454545456,9362.400000000001,114.99,9477.390000000001,1.2571428571428571,1.0,0,0,0,0
instance_00164,51,51,42,9,0.17647058823529413,10873.87,83.57,10957.44,1.2142857142857142,1.0,0,0,0,0
